ibge_code,population
2606002,140577
2606101,30751
2606200,80055
2606309,7537
2606408,84699
2606507,19241
2606606,29412
2606705,7768
2606804,118370
2606903,12247
2607000,23645
2607109,4543
2607208,97669
2607307,31187
2607406,4966
2607505,26308
2607604,26672
2607653,36471
2607703,13553
2607752,26900
2607802,17006
2607901,706867
2607950,11644
2608008,17228
2608057,14850
2608107,33328
2608206,16011
2608255,11485
2608305,14922
2608404,15431
2608453,18252
2608503,21460
2608602,13224
2608701,16318
2608750,25849
2608800,40589
2608909,56198
2609006,25472
2609105,16321
2609154,21776
2609204,11220
2609303,15470
2609402,63294
2609501,32573
2609600,393115
2609709,23935
2609808,15152
2609907,69969
2610004,63500
2610103,7600
2610202,26456
2610301,11566
2610400,22106
2610509,28894
2610608,56933
2610707,334376
2610806,22668
2610905,67735
2611002,36901
2611101,354317
2611200,11305
2611309,27148
2611408,15101
2611507,26175
2611533,6805
2611606,1653461
2611705,20646
2611804,47616
2611903,23628
2612000,9764
2612109,11068
2612208,61249
2612307,15862
2612406,26890
2612455,15558
2612471,12650
2612505,109897
2612554,14562
2612604,42100
2612703,14223
2612802,11865
2612901,16069
2613008,60042
2613107,37368
2613206,22899
2613305,21398
2613404,21586
2613503,34021
2613602,34056
2613701,114079
2613800,18085
2613909,86915
2614006,19196
2614105,36050
2614204,46361
2614303,11270
2614402,6021
2614501,65647
2614600,28704
2614709,12859
2614808,26106
2614857,23623
2615003,29127
2615102,7198
2615201,10206
2615300,52802
2615409,46164
2615508,13813
2615607,30816
2615706,15243
2615805,27551
2615904,8256
2616001,18661
2616100,9553
2616183,7571
2616209,20954
2616308,32772
2616407,139583
2616506,14757
2700102,20230
2700201,17526
2700300,233047
2700409,47365
2700508,16068
2700607,8378
2700706,18338
2700805,4284
2700904,6710
2701001,27356
2701100,10460
2701209,10889
2701308,21331
2701357,6954
2701407,57537
2701506,9567
2701605,17719
2701704,16979
2701803,9159
2701902,7311
2702009,10643
2702108,21818
2702207,5864
2702306,57294
2702355,24309
2702405,52262
2702504,11067
2702553,18255
2702603,22178
2702702,4779
2702801,12807
2702900,41237
2703007,15627
2703106,25613
2703205,24586
2703304,18392
2703403,5219
2703502,7006
2703601,8403
2703700,5761
2703759,11536
2703809,24081
2703908,4137
2704005,24722
2704104,17771
2704203,28771
2704302,1025360
2704401,19864
2704500,33032
2704609,9004
2704708,52380
2704807,13193
2704906,3494
2705002,25207
2705101,24634
2705200,18031
2705309,5322
2705408,7165
2705507,28333
2705606,12764
2705705,21738
2705804,9441
2705903,5128
2706000,11657
2706109,11535
2706208,5037
2706307,73337
2706406,24351
2706422,10539
2706448,13332
2706505,15258
2706604,7560
2706703,63846
2706802,17848
2706901,35212
2707008,2905
2707107,25183
2707206,14418
2707305,27249
2707404,7701
2707503,20112
2707602,11248
2707701,75394
2707800,6649
2707909,7320
2708006,47819
2708105,10687
2708204,6969
2708303,23996
2708402,32405
2708501,34692
2708600,61797
2708709,8013
2708808,34290
2708907,13936
2708956,13921
2709004,6138
2709103,20072
2709152,44372
2709202,27826
2709301,65790
2709400,25693
2800100,2380
2800209,21681
2800308,664908
2800407,9947
2800506,18686
2800605,30930
2800670,26899
2800704,8353
2801009,18218
2801108,4006
2801207,30402
2801306,34514
2801405,22239
2801504,16937
2801603,5913
2801702,18029
2801900,3998
2802007,5215
2802106,69556
2802205,5601
2802304,15556
2802403,11601
2802502,3384
2802601,5824
2802700,8521
2802809,18149
2802908,96142
2803005,42166
2803104,4886
2803203,34709
2803302,18907
2803401,13429
2803500,105221
2803609,30080
2803708,6961
2803807,3699
2803906,12653
2804003,17271
2804102,11348
2804201,15175
2804300,7639
2804409,18703
2804458,8809
2804508,37324
2804607,26795
2804706,6496
2804805,185706
2804904,14540
2805000,3285
2805109,9665
2805208,6627
2805307,9359
2805406,35122
2805505,23867
2805604,28693
2805703,29692
2805802,19809
2805901,10284
2806008,18773
2806107,11008
2806206,20025
2806305,14121
2806404,7844
2806503,3923
2806602,12151
2806701,91093
2806800,11207
2806909,3781
2807006,3947
2807105,40606
2807204,8970
2807303,3249
2807402,52530
2807501,13535
2807600,25550
2900108,8710
2900207,20347
2900306,15187
2900355,17126
2900405,17033
2900504,10560
2900603,4416
2900702,152327
2900801,22490
2900900,5366
2901007,37441
2901106,25048
2901155,16090
2901205,21607
2901304,13132
2901353,14503
2901403,13938
2901502,11297
2901601,19479
2901700,11677
2901809,11878
2901908,17788
2901957,7302
2902005,13045
2902054,12208
2902104,54648
2902203,11461
2902252,10961
2902302,8837
2902401,11299
2902500,13929
2902609,20449
2902658,13240
2902708,53910
2902807,20392
2902906,31209
2903003,13833
2903102,5612
2903201,156975
2903235,15054
2903276,16105
2903300,5448
2903409,23437
2903508,17109
2903607,15984
2903706,12329
2903805,18531
2903904,69662
2903953,9823
2904001,14446
2904050,16884
2904100,21497
2904209,10129
2904308,14222
2904407,10618
2904506,10130
2904605,67335
2904704,18306
2904753,21276
2904803,6488
2904852,18911
2904902,33567
2905008,23291
2905107,9058
2905156,14608
2905206,51081
2905305,18513
2905404,18427
2905503,13391
2905602,32006
2905701,304302
2905800,35382
2905909,28820
2906006,71487
2906105,9703
2906204,26325
2906303,30906
2906402,8181
2906501,87458
2906600,14368
2906709,25053
2906808,34882
2906824,16753
2906857,11616
2906873,30862
2906899,8801
2906907,22093
2907004,9346
2907103,29070
2907202,72545
2907301,26318
2907400,3599
2907509,54970
2907558,9316
2907608,17280
2907707,11200
2907806,32576
2907905,17352
2908002,16549
2908101,18807
2908200,22762
2908309,17165
2908408,67013
2908507,33398
2908606,26035
2908705,17178
2908804,4045
2908903,22495
2909000,8642
