ibge_code,population,date
2313401,76537,2020
2313500,56291,2020
2313559,16431,2020
2313609,35047,2020
2313708,7736,2020
2313757,19903,2020
2313807,22040,2020
2313906,13915,2020
2313955,18471,2020
2314003,40903,2020
2314102,61410,2020
2400109,11121,2020
2400208,58384,2020
2400307,11029,2020
2400406,3272,2020
2400505,13553,2020
2400604,4710,2020
2400703,14728,2020
2400802,11705,2020
2400901,7154,2020
2401008,35874,2020
2401107,27967,2020
2401206,14417,2020
2401305,9670,2020
2401404,9322,2020
2401453,28747,2020
2401503,3994,2020
2401602,5525,2020
2401651,2197,2020
2401701,10267,2020
2401800,12787,2020
2401859,6561,2020
2401909,3715,2020
2402006,68343,2020
2402105,11291,2020
2402204,34548,2020
2402303,20541,2020
2402402,8239,2020
2402501,10867,2020
2402600,73886,2020
2402709,11181,2020
2402808,5504,2020
2402907,4915,2020
2403004,7983,2020
2403103,44905,2020
2403202,7072,2020
2403251,267036,2020
2403301,5668,2020
2403400,6054,2020
2403509,10484,2020
2403608,28936,2020
2403707,5997,2020
2403756,3067,2020
2403806,9786,2020
2403905,2813,2020
2404002,4041,2020
2404101,2845,2020
2404200,26669,2020
2404309,13076,2020
2404408,10463,2020
2404507,15963,2020
2404606,13901,2020
2404705,15626,2020
2404804,2253,2020
2404853,7595,2020
2404903,5897,2020
2405009,9238,2020
2405108,6893,2020
2405207,5248,2020
2405306,10275,2020
2405405,4995,2020
2405504,2606,2020
2405603,14942,2020
2405702,12396,2020
2405801,35160,2020
2405900,2654,2020
2406007,5946,2020
2406106,18315,2020
2406155,3922,2020
2406205,6811,2020
2406304,7584,2020
2406403,2732,2020
2406502,15749,2020
2406601,8297,2020
2406700,11344,2020
2406809,4763,2020
2406908,4025,2020
2407005,10146,2020
2407104,81821,2020
2407203,32039,2020
2407252,4062,2020
2407302,8336,2020
2407401,8758,2020
2407500,12544,2020
2407609,4634,2020
2407708,11208,2020
2407807,22576,2020
2407906,2084,2020
2408003,300618,2020
2408102,890480,2020
2408201,27938,2020
2408300,37450,2020
2408409,4244,2020
2408508,4813,2020
2408607,4276,2020
2408706,3750,2020
2408805,5272,2020
2408904,21545,2020
2408953,10905,2020
2409100,13474,2020
2409209,3102,2020
2409308,12809,2020
2409332,5621,2020
2409407,30600,2020
2409506,3199,2020
2409605,2438,2020
2409704,6653,2020
2409803,14844,2020
2409902,15272,2020
2410009,3869,2020
2410108,15531,2020
2410207,7906,2020
2410256,6522,2020
2410306,10522,2020
2410405,9724,2020
2410504,5128,2020
2410603,3208,2020
2410702,3614,2020
2410801,4199,2020
2410900,8220,2020
2411007,4462,2020
2411056,4140,2020
2411106,3592,2020
2411205,39988,2020
2411403,11956,2020
2411429,2689,2020
2411502,24280,2020
2411601,2717,2020
2411700,4495,2020
2411809,3595,2020
2411908,4255,2020
2412005,103672,2020
2412104,6207,2020
2412203,44236,2020
2412302,12879,2020
2412401,4665,2020
2412500,23655,2020
2412559,10362,2020
2412609,17720,2020
2412708,5930,2020
2412807,8192,2020
2412906,11053,2020
2413003,6450,2020
2413102,6127,2020
2413201,4484,2020
2413300,5751,2020
2413359,12083,2020
2413409,8092,2020
2413508,6178,2020
2413557,4816,2020
2413607,2088,2020
2413706,5561,2020
2413805,2586,2020
2413904,12297,2020
2414001,15869,2020
2414100,10855,2020
2414159,6019,2020
2414209,14440,2020
2414308,2421,2020
2414407,33503,2020
2414456,3216,2020
2414506,10520,2020
2414605,14800,2020
2414704,5515,2020
2414753,4205,2020
2414803,12637,2020
2414902,1725,2020
2415008,3194,2020
2500106,10306,2020
2500205,5630,2020
2500304,28439,2020
2500403,20921,2020
2500502,14560,2020
2500536,5509,2020
2500577,2577,2020
2500601,19727,2020
2500700,18026,2020
2500734,2251,2020
2500775,8416,2020
2500809,16921,2020
2500908,13542,2020
2501005,20463,2020
2501104,22656,2020
2501153,2116,2020
2501203,7027,2020
2501302,19116,2020
2501351,4029,2020
2501401,9096,2020
2501500,21269,2020
2501534,4964,2020
2501575,8349,2020
2501609,15497,2020
2501708,6065,2020
2501807,97203,2020
2501906,17705,2020
2502003,7349,2020
2502052,3536,2020
2502102,5307,2020
2502151,7136,2020
2502201,2575,2020
2502300,4956,2020
2502409,12022,2020
2502508,17870,2020
2502607,6105,2020
2502706,5287,2020
2502805,14206,2020
2502904,6464,2020
2503001,21955,2020
2503100,5661,2020
2503209,68767,2020
2503308,10305,2020
2503407,3695,2020
2503506,17178,2020
2503555,7199,2020
2503605,7191,2020
2503704,62289,2020
2503753,3205,2020
2503803,6046,2020
2503902,6031,2020
2504009,411807,2020
2504033,6620,2020
2504074,4185,2020
2504108,2687,2020
2504157,7499,2020
2504207,4935,2020
2504306,30684,2020
2504355,4875,2020
2504405,19007,2020
2504504,6658,2020
2504603,25010,2020
2504702,4787,2020
2504801,15441,2020
2504850,1935,2020
2504900,17461,2020
2505006,7832,2020
2505105,20334,2020
2505204,6775,2020
2505238,6356,2020
2505279,5218,2020
2505303,2512,2020
2505352,5370,2020
2505402,8315,2020
2505501,3824,2020
2505600,6528,2020
2505709,10413,2020
2505808,3582,2020
2505907,3539,2020
